Image_Index, Camera, Point_Index, X, Y
3, right, 26, 506.1277, 1510.6343
3, right, 27, 488.2231, 1449.4114
3, right, 28, 468.9494, 1390.8750
3, right, 29, 450.8474, 1329.9214
3, right, 30, 433.0000, 1271.0000
3, right, 31, 488.3295, 1586.6486
3, right, 32, 469.7679, 1526.5450
3, right, 33, 451.2432, 1467.2487
3, right, 34, 433.2683, 1407.7300
3, right, 35, 415.0000, 1349.0000
3, right, 36, 396.6172, 1290.0594
3, right, 37, 452.2935, 1602.5897
3, right, 38, 433.9003, 1543.8102
3, right, 39, 415.9557, 1484.0680
3, right, 40, 398.2166, 1425.6216
3, right, 41, 380.4102, 1367.1141
3, right, 42, 362.0000, 1309.0000
3, right, 43, 417.4528, 1617.4899
3, right, 44, 399.7797, 1558.7646
3, right, 45, 381.6740, 1500.7135
3, right, 46, 364.1402, 1443.0262
3, right, 47, 346.4956, 1385.6332
3, right, 48, 328.9219, 1327.7708
3, right, 49, 383.2393, 1631.9109
3, right, 50, 366.1967, 1574.5016
3, right, 51, 348.4203, 1516.9587
3, right, 52, 330.6088, 1459.9984
3, right, 53, 313.0919, 1402.8204
3, right, 54, 296.0000, 1346.0000
4, left, 1, 2473.6252, 1426.8762
4, left, 2, 2480.6926, 1381.6270
4, left, 3, 2487.7388, 1337.7114
4, left, 4, 2494.2927, 1294.0624
4, left, 5, 2500.9944, 1250.9888
4, left, 6, 2507.4492, 1207.7036
4, left, 7, 2444.5608, 1412.2787
4, left, 8, 2451.8335, 1366.6332
4, left, 9, 2458.8247, 1321.8110
4, left, 10, 2466.1719, 1279.0109
4, left, 11, 2472.7153, 1234.5464
4, left, 12, 2479.6479, 1191.6603
4, left, 13, 2415.0776, 1398.1464
4, left, 14, 2422.1492, 1351.6461
4, left, 15, 2430.0073, 1307.7872
4, left, 16, 2437.1382, 1262.2795
4, left, 17, 2444.3235, 1218.3995
4, left, 18, 2451.2236, 1175.0779
4, left, 19, 2384.1094, 1382.5016
4, left, 20, 2392.1201, 1336.8104
4, left, 21, 2399.7185, 1290.8328
4, left, 22, 2407.1460, 1245.9954
4, left, 23, 2414.8608, 1201.7721
4, left, 24, 2422.2170, 1158.9244
4, left, 25, 2352.8901, 1367.4209
4, left, 26, 2360.9368, 1320.6334
4, left, 27, 2368.9492, 1274.8229
4, left, 28, 2376.8538, 1229.1077
4, left, 29, 2384.4221, 1183.5032
4, left, 30, 2392.3567, 1140.3853
4, left, 31, 2320.6709, 1351.7445
4, left, 32, 2329.1836, 1304.9695
4, left, 33, 2337.1362, 1257.8712
4, left, 34, 2345.7712, 1212.6893
4, left, 35, 2353.6296, 1167.0018
4, left, 36, 2361.7507, 1123.2604
4, left, 37, 2287.5847, 1335.6786
4, left, 38, 2296.0935, 1287.8252
4, left, 39, 2304.9753, 1241.1204
4, left, 40, 2313.3223, 1194.7931
4, left, 41, 2322.0000, 1149.0000
4, left, 42, 2330.2937, 1104.4728
4, left, 43, 2253.6726, 1318.7062
4, left, 44, 2262.7703, 1271.3933
4, left, 45, 2271.5762, 1223.4978
4, left, 46, 2280.5349, 1176.5870
4, left, 47, 2289.2664, 1130.8657
4, left, 48, 2298.0000, 1085.0000
4, left, 49, 2218.6895, 1302.1593
4, left, 50, 2228.2620, 1253.3795
4, left, 51, 2237.8416, 1205.9332
4, left, 52, 2247.0918, 1158.4711
4, left, 53, 2256.2058, 1113.0956
4, left, 54, 2265.1746, 1065.8470
4, right, 1, 1750.7367, 1312.7080
4, right, 2, 1748.3397, 1245.0292
4, right, 3, 1746.5237, 1178.0359
4, right, 4, 1744.5190, 1111.2106
4, right, 5, 1742.8429, 1045.0286
4, right, 6, 1740.6335, 978.5782
4, right, 7, 1682.7620, 1314.1393
4, right, 8, 1681.1605, 1247.0671
4, right, 9, 1679.1836, 1179.9277
4, right, 10, 1677.4846, 1113.3668
4, right, 11, 1675.4227, 1046.8683
4, right, 12, 1673.9838, 980.7549
4, right, 13, 1615.5231, 1316.3721
4, right, 14, 1613.5419, 1248.7880
4, right, 15, 1612.1985, 1182.0944
4, right, 16, 1610.2725, 1115.1301
4, right, 17, 1608.7063, 1048.8710
4, right, 18, 1606.9164, 982.6393
4, right, 19, 1547.8463, 1317.7745
4, right, 20, 1546.5116, 1250.9081
4, right, 21, 1544.7091, 1183.6746
4, right, 22, 1543.2800, 1117.1938
4, right, 23, 1541.7520, 1050.7593
4, right, 24, 1540.3394, 984.7719
4, right, 25, 1480.3040, 1320.1127
4, right, 26, 1478.8533, 1252.4443
